Level Time PositionX PositionY x y
Selected: 
5 (7.999974, (-4.93, -0.04)) 0.54 0.4
5 (8.748978, (-4.47, -2.65)) 0.525 0.4
5 (8.844565, (-2.59, -2.41)) 0.55 0.41
5 (9.675179, (-2.71, -2.36)) 0.5625 0.4216506
5 (13.62671, (-7.70, -2.78)) 0.55 0.425
5 (15.04158, (-5.89, -1.10)) 0.5673205 0.41
5 (16.03066, (-4.03, -0.03)) 0.5716506 0.4125
5 (17.61715, (-8.35, -2.27)) 0.53 0.4
5 (18.98615, (-8.27, -0.75)) 0.5283494 0.4125
5 (20.44735, (-7.66, -1.10)) 0.55 0.38
5 (21.65985, (-8.22, -1.24)) 0.52 0.4
5 (22.76818, (-8.03, -2.18)) 0.5370097 0.4075
5 (23.07866, (-7.72, -0.69)) 0.5425 0.4129904
5 (23.8622, (-7.85, -0.79)) 0.5240192 0.415
5 (24.51809, (-8.10, -1.17)) 0.54 0.4173205
5 (25.28816, (-7.54, -2.57)) 0.535 0.4259808
5 (28.68108, (-7.91, -2.41)) 0.5283494 0.3875
5 (29.37395, (-6.36, -2.95)) 0.55 0.415
5 (38.56193, (-6.96, -2.15)) 0.55 0.39
5 (43.42975, (-8.12, -1.20)) 0.5240192 0.385
5 (45.59642, (-8.37, -3.06)) 0.545 0.4
5 (46.52281, (-7.38, -0.68)) 0.5425 0.3870096
5 (47.51723, (-7.29, -0.18)) 0.565 0.4
5 (48.79757, (-8.04, -0.89)) 0.56 0.4173205
5 (49.55531, (-8.20, -1.34)) 0.5375 0.4216506
5 (51.54824, (-7.86, -0.97)) 0.555 0.4
5 (52.43815, (-7.88, -0.63)) 0.55 0.42
5 (55.28957, (-8.55, -0.40)) 0.555 0.4086603
5 (72.41329, (-3.15, -0.15)) 0.555 0.4
5 (73.4726, (-6.67, -1.43)) 0.56 0.4
5 (73.71408, (-7.38, -1.14)) 0.565 0.4
5 (74.26511, (-6.10, -2.85)) 0.5326795 0.41
5 (75.71139, (-1.23, 0.07)) 0.5759808 0.415
5 (77.00099, (-7.16, -2.01)) 0.5413398 0.395
5 (77.25035, (-7.79, -1.17)) 0.5456699 0.4025
5 (78.21029, (-8.32, -1.12)) 0.55 0.385
5 (78.54311, (-7.10, -0.29)) 0.5326795 0.39
5 (79.62908, (-7.69, -1.49)) 0.555 0.3913397
5 (80.80392, (-5.25, -2.57)) 0.545 0.3913397
5 (81.31422, (-6.94, -1.07)) 0.5525 0.4043301
5 (81.55927, (-7.59, -1.05)) 0.535 0.4
5 (81.9118, (-8.14, -1.25)) 0.545 0.4086603
5 (82.15588, (-7.37, -2.59)) 0.57 0.4
5 (82.61376, (-8.34, -1.07)) 0.5525 0.3956699
5 (83.1448, (-7.99, -3.42)) 0.565 0.4259808
5 (83.866, (-8.20, -3.17)) 0.5475 0.4043301
5 (84.46638, (-8.41, -0.70)) 0.55 0.43
5 (86.05595, (-6.96, -3.15)) 0.57 0.4
5 (87.63143, (-6.21, -0.37)) 0.5673205 0.39
5 (88.59797, (-7.29, -0.49)) 0.56 0.3826795
5 (89.51547, (-6.37, -1.61)) 0.5370097 0.3925
5 (90.21979, (-5.73, -2.78)) 0.5413398 0.405
5 (91.27536, (-2.89, -1.39)) 0.5586603 0.405
5 (94.53867, (-0.63, -0.57)) 0.5575 0.3870096

Stage 2 start:94.54029
Sorted: 
5 97.91792 0.5629904 0.4075
5 99.09872 0.5375 0.3783494
5 102.9796 0.535 0.3740192
5 106.8187 0.5543301 0.4025
5 108.7585 0.55 0.405
5 109.9791 0.5575 0.4129904
5 111.9779 0.5456699 0.3975
5 114.1197 0.5475 0.3956699
5 115.1797 0.56 0.4
5 117.0582 0.54 0.3826795
5 118.8197 0.5586603 0.395

Let through: 
5 0.5759808 0.385
5 0.55 0.375
5 0.5716506 0.3875
5 0.58 0.4
5 0.565 0.3740192
5 0.55 0.395
5 0.58 0.4
5 0.575 0.4
5 0.575 0.4
5 0.5629904 0.3925
5 0.5543301 0.3975
5 0.55 0.37
5 0.5625 0.3783494


